ufid,size,%_treated,%_censored,%_effect_size,effect_size,link_type,snr,tx_importance,deg(y),deg(z),deg(c),n_conf(y),n_conf(yz),n_conf(z),n_conf(c),n_conf(cy),n_conf(cz),n_conf(cyz),dgp,instance,random_seed
a957b431a74a43a0bb7cc52e1c84c8ad,1000,46.4433589175,0,71.5440578331,6.373162257740001,poly,0.8327533599150001,,2,3,-1,6,0,4,0,0,0,0,0,0,604793
846b69d210304cf2b0116aaa6ec0d085,1000,55.951883205,0,1.86491685116,3.4883790315199996,poly,0.825668496392,,1,1,-1,6,0,4,0,0,0,0,0,2,325913
6b3fc7d31886456dba322bf1935e706c,1000,52.6207922075,0,-3.22530438445,-10.5992795687,poly,0.819461567653,,2,2,-1,6,0,4,0,0,0,0,0,3,651789
2c3dda4d6ff142c193c031d1665a09e0,1000,74.44365385020001,0,0.0186759154638,0.341015566068,poly,0.8465360624349999,,2,2,-1,6,0,4,0,0,0,0,0,5,887232
29fb062cbf0e4b608f0c32254635af47,1000,53.8897330984,0,5.347500002159999,-0.20297437822,poly,0.8577186949619999,,1,1,-1,6,0,4,0,0,0,0,0,6,685275
cdfd58840aa34ae0b4f7216f0dd0338b,1000,55.921668328900004,0,-17.4349860139,2.23767772745,poly,0.833439252368,,1,3,-1,6,0,4,0,0,0,0,0,7,573436
f6a55762b6b243098073b7897d020d86,1000,53.234800024799995,0,4.22389233021,-10.460638329,poly,0.829101429531,,2,1,-1,6,0,4,0,0,0,0,0,8,869804
9a3667f6e5434b29a60619f11c6f1ff7,1000,54.281222068699996,0,-85.6338813382,-2.1005897864,poly,0.861850064521,1.44269504089,1,1,-1,0,2,8,0,0,0,0,1,0,332688
ca964272644a489596c98e3731929366,1000,55.364871527,0,-102.96558690399999,-1.5360490871899999,poly,0.870322707835,1.44269504089,1,3,-1,0,2,8,0,0,0,0,1,1,507417
8db06c08fcb14ba59ac90dd1cf72d6ad,1000,47.3849113718,0,89.5762227338,-26.712871911999997,poly,0.853804159303,1.44269504089,3,1,-1,0,2,8,0,0,0,0,1,3,499927
0d6b86caa1594787a0862953aa21d210,1000,52.292460113900006,0,-103.97508980200001,-2.32128192141,poly,0.818454487288,1.44269504089,2,2,-1,0,2,8,0,0,0,0,1,4,765370
cb36ffcc84ec468c9255b1c121ffe808,1000,61.6909718213,0,48.0443583311,-13.7165000022,poly,0.8668569266189999,1.44269504089,2,1,-1,0,2,8,0,0,0,0,1,5,14765
e7b0745423934083bac1bd9a783f88da,1000,40.8199761629,0,-85.4370979248,-2.99652264414,poly,0.827438687734,1.44269504089,2,1,-1,0,2,8,0,0,0,0,1,6,687895
00ea30e866f141d9880d5824a361a76a,1000,47.0296621754,0,-6.3961082328900005,-0.798503210944,poly,0.8436180322619999,1.44269504089,2,2,-1,0,2,8,0,0,0,0,1,7,463751
2a77a3e8a23547eda1b93424ea62dfa3,1000,63.3035653791,0,33.9954230258,0.0721051692808,log,0.823546622229,,8,8,-1,2,5,3,0,0,0,0,2,1,50663
e6b499d1ae394d9980ec500ccbc4a405,1000,62.6502223763,0,-41.9914799979,-0.125176292449,exp,0.8489687143160001,,8,8,-1,2,5,3,0,0,0,0,2,2,134973
58b3f95d9d614f34aa2ec964abeb2839,1000,51.9389466447,0,22.996529213600002,0.18068048028099998,exp,0.879980284941,,8,8,-1,2,5,3,0,0,0,0,2,4,189741
0f5ed763e53141518e129062621d22f9,1000,50.548445763900006,0,1.01258773128,0.0271996818653,log,0.8678187307170001,,8,8,-1,2,5,3,0,0,0,0,2,5,153939
2f9cce1845594f4cb290b6f54d299507,1000,46.329804135299995,0,-5.40746462887,-0.0330296588564,log,0.850235270777,,8,8,-1,2,5,3,0,0,0,0,2,6,779243
f326750d6f444ab79f4767d276a6558b,1000,48.3680989029,0,-20.1197901218,-0.12647013750999997,exp,0.8465491684550001,,8,8,-1,2,5,3,0,0,0,0,2,7,503687
f06f6d9b3d1942978cdf14e9a1e726ec,1000,56.738977842,0,-57.0234643809,-7.264407115039999,exp,0.880022603001,,8,8,-1,2,5,3,0,0,0,0,2,8,711803
476ae9961bab4b008970ca13a2fd059f,1000,57.671866179300004,0,69.0260723012,-0.258866664198,log,0.8322844891850001,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,0,292378
4d41b08679fc40d39d9245e9517ab628,1000,52.595000717,0,6.13491922865,-0.142760984099,log,0.825560208725,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,1,151949
4eb69265ace847b19bcff6f98039b758,1000,50.14802700520001,0,-83.2302435687,0.0859452689002,log,0.830720811269,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,2,38309
50ca21dc2c61435283ffc181118d7b16,1000,50.6522261836,0,-4.65391520477,-0.0406223903284,exp,0.894984821477,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,4,226599
